Order,Dex #,Pokémon,Region
894,648,Aria Meloetta,Unova
895,648,Pirouette Meloetta,Unova
896,649,Genesect,Unova
897,649,Burn Drive Genesect,Unova
898,649,Chill Drive Genesect,Unova
899,649,Douse Drive Genesect,Unova
900,649,Shock Drive Genesect,Unova
901,650,Chespin,Kalos
902,651,Quilladin,Kalos
903,652,Chesnaught,Kalos
904,652,Mega Chesnaught,Kalos
905,653,Fennekin,Kalos
906,654,Braixen,Kalos
907,655,Delphox,Kalos
908,655,Mega Delphox,Kalos
909,656,Froakie,Kalos
910,657,Frogadier,Kalos
911,658,Battle Bond Greninja,Kalos
912,658,Greninja,Kalos
913,658,Mega Greninja,Kalos
914,659,Bunnelby,Kalos
915,660,Diggersby,Kalos
916,661,Fletchling,Kalos
917,662,Fletchinder,Kalos
918,663,Talonflame,Kalos
919,664,Scatterbug,Kalos
920,665,Spewpa,Kalos
921,666,Archipelago Vivillon,Kalos
922,666,Continental Vivillon,Kalos
923,666,Elegant Vivillon,Kalos
924,666,Fancy Vivillon,Kalos
925,666,Garden Vivillon,Kalos
926,666,High Plains Vivillon,Kalos
927,666,Icy Snow Vivillon,Kalos
928,666,Jungle Vivillon,Kalos
929,666,Marine Vivillon,Kalos
930,666,Meadow Vivillon,Kalos
931,666,Modern Vivillon,Kalos
932,666,Monsoon Vivillon,Kalos
933,666,Ocean Vivillon,Kalos
934,666,Poké Ball Vivillon,Kalos
935,666,Polar Vivillon,Kalos
936,666,River Vivillon,Kalos
937,666,Sandstorm Vivillon,Kalos
938,666,Savanna Vivillon,Kalos
939,666,Sun Vivillon,Kalos
940,666,Tundra Vivillon,Kalos
941,666,Vivillon,Kalos
942,667,Litleo,Kalos
943,668,Pyroar,Kalos
944,668,Mega Pyroar,Kalos
945,669,Blue Flower Flabébé,Kalos
946,669,Flabebe,Kalos
947,669,Orange Flower Flabébé,Kalos
948,669,Red Flower Flabébé,Kalos
949,669,White Flower Flabébé,Kalos
950,669,Yellow Flower Flabébé,Kalos
951,670,Blue Flower Floette,Kalos
952,670,Eternal Flower Floette,Kalos
953,670,Floette,Kalos
954,670,Orange Flower Floette,Kalos
955,670,Red Flower Floette,Kalos
956,670,White Flower Floette,Kalos
957,670,Yellow Flower Floette,Kalos
958,670,Mega Eternal Flower Floette,Kalos
959,670,Mega Floette,Kalos
960,671,Blue Flower Florges,Kalos
961,671,Florges,Kalos
962,671,Orange Flower Florges,Kalos
963,671,Red Flower Florges,Kalos
964,671,White Flower Florges,Kalos
965,671,Yellow Flower Florges,Kalos
966,672,Skiddo,Kalos
967,673,Gogoat,Kalos
968,674,Pancham,Kalos
969,675,Pangoro,Kalos
970,676,Furfrou,Kalos
971,676,Dandy Trim Furfrou,Kalos
972,676,Debutante Trim Furfrou,Kalos
973,676,Diamond Trim Furfrou,Kalos
974,676,Heart Trim Furfrou,Kalos
975,676,Kabuki Trim Furfrou,Kalos
976,676,La Reine Trim Furfrou,Kalos
977,676,Matron Trim Furfrou,Kalos
978,676,Natural Furfrou,Kalos
979,676,Pharaoh Trim Furfrou,Kalos
980,676,Star Trim Furfrou,Kalos
981,677,Espurr,Kalos
982,678,Meowstic Female,Kalos
983,678,Meowstic Male,Kalos
984,678,Mega Meowstic Female,Kalos
985,678,Mega Meowstic Male,Kalos
986,679,Honedge,Kalos
987,680,Doublade,Kalos
988,681,Aegislash,Kalos
989,681,Blade Aegislash,Kalos
990,681,Shield Aegislash,Kalos
991,682,Spritzee,Kalos
992,683,Aromatisse,Kalos
993,684,Swirlix,Kalos
994,685,Slurpuff,Kalos
995,686,Inkay,Kalos
996,687,Malamar,Kalos
997,687,Mega Malamar,Kalos
998,688,Binacle,Kalos
999,689,Barbaracle,Kalos
1000,689,Mega Barbaracle,Kalos
1001,690,Skrelp,Kalos
1002,691,Dragalge,Kalos
1003,691,Mega Dragalge,Kalos
1004,692,Clauncher,Kalos
1005,693,Clawitzer,Kalos
1006,694,Helioptile,Kalos
1007,695,Heliolisk,Kalos
1008,696,Tyrunt,Kalos
1009,697,Tyrantrum,Kalos
1010,698,Amaura,Kalos
1011,699,Aurorus,Kalos
1012,701,Hawlucha,Kalos
1013,701,Mega Hawlucha,Kalos
1014,702,Dedenne,Kalos
1015,703,Carbink,Kalos
1016,704,Goomy,Kalos
1017,705,Sliggoo,Kalos
1018,705,Hisuian Sliggoo,Hisui
1019,706,Goodra,Kalos
1020,706,Hisuian Goodra,Hisui
1021,707,Klefki,Kalos
1022,708,Phantump,Kalos
1023,709,Trevenant,Kalos
1024,710,Pumpkaboo,Kalos
1025,710,Average Pumpkaboo,Kalos
1026,711,Average Gourgeist,Kalos
1027,711,Gourgeist,Kalos
1028,712,Bergmite,Kalos
1029,713,Avalugg,Kalos
1030,713,Hisuian Avalugg,Hisui
1031,714,Noibat,Kalos
1032,715,Noivern,Kalos
1033,716,Xerneas,Kalos
1034,717,Yveltal,Kalos
1035,718,Zygarde,Kalos
1036,718,10% Zygarde,Kalos
1037,718,50% Zygarde,Kalos
1038,718,Complete Zygarde,Kalos
1039,718,Mega Zygarde,Kalos
1040,719,Diancie,Kalos
1041,719,Mega Diancie,Kalos
1042,720,Hoopa,Kalos
1043,720,Confined Hoopa,Kalos
1044,720,Unbound Hoopa,Kalos
1045,721,Volcanion,Kalos
1046,722,Rowlet,Alola
1047,723,Dartrix,Alola
1048,724,Decidueye,Alola
1049,724,Hisuian Decidueye,Hisui
1050,725,Litten,Alola
1051,726,Torracat,Alola
1052,727,Incineroar,Alola
1053,728,Popplio,Alola
1054,729,Brionne,Alola
1055,730,Primarina,Alola
1056,731,Pikipek,Alola
1057,732,Trumbeak,Alola
1058,733,Toucannon,Alola
1059,734,Yungoos,Alola
1060,735,Gumshoos,Alola
1061,736,Grubbin,Alola
1062,737,Charjabug,Alola
1063,738,Vikavolt,Alola
1064,739,Crabrawler,Alola
1065,740,Crabominable,Alola
1066,740,Mega Crabominable,Alola
1067,741,Oricorio,Alola
1068,741,Baile Oricorio,Alola
1069,741,Pa'u Oricorio,Alola
1070,741,Pom-Pom Oricorio,Alola
1071,741,Sensu Oricorio,Alola
1072,742,Cutiefly,Alola
1073,743,Ribombee,Alola
1074,744,Rockruff,Alola
1075,745,Dusk Lycanroc,Alola
1076,745,Lycanroc,Alola
1077,745,Midday Lycanroc,Alola
1078,745,Midnight Lycanroc,Alola
1079,746,Wishiwashi,Alola
1080,746,School Wishiwashi,Alola
1081,746,Solo Wishiwashi,Alola
1082,747,Mareanie,Alola
1083,748,Toxapex,Alola
1084,749,Mudbray,Alola
1085,750,Mudsdale,Alola
1086,751,Dewpider,Alola
1087,752,Araquanid,Alola
1088,753,Fomantis,Alola
1089,754,Lurantis,Alola
1090,755,Morelull,Alola
1091,756,Shiinotic,Alola
1092,757,Salandit,Alola
1093,758,Salazzle,Alola
1094,759,Stufful,Alola
1095,760,Bewear,Alola
1096,761,Bounsweet,Alola
1097,762,Steenee,Alola
1098,763,Tsareena,Alola
1099,764,Comfey,Alola
1100,765,Oranguru,Alola
1101,766,Passimian,Alola
1102,767,Wimpod,Alola
1103,768,Golisopod,Alola
1104,768,Mega Golisopod,Alola
1105,769,Sandygast,Alola
1106,770,Palossand,Alola
1107,771,Pyukumuku,Alola
1108,772,Type: Null,Alola
1109,773,Bug Silvally,Alola
1110,773,Dark Silvally,Alola
1111,773,Dragon Silvally,Alola
1112,773,Electric Silvally,Alola
1113,773,Fairy Silvally,Alola
1114,773,Fighting Silvally,Alola
1115,773,Fire Silvally,Alola
1116,773,Flying Silvally,Alola
1117,773,Ghost Silvally,Alola
1118,773,Grass Silvally,Alola
1119,773,Ground Silvally,Alola
1120,773,Ice Silvally,Alola
1121,773,Normal Silvally,Alola
1122,773,Poison Silvally,Alola
1123,773,Psychic Silvally,Alola
1124,773,Rock Silvally,Alola
1125,773,Silvally,Alola
1126,773,Steel Silvally,Alola
1127,773,Water Silvally,Alola
1128,774,Minior,Alola
1129,774,Red Core Minior,Alola
1130,774,Red Meteor Minior,Alola
1131,775,Komala,Alola
1132,776,Turtonator,Alola
1133,777,Togedemaru,Alola
1134,778,Mimikyu,Alola
1135,778,Disguised Mimikyu,Alola
1136,779,Bruxish,Alola
1137,780,Drampa,Alola
1138,780,Mega Drampa,Alola
1139,781,Dhelmise,Alola
1140,782,Jangmo-o,Alola
1141,782,Jangmo,Alola
1142,783,Hakamo,Alola
1143,783,Hakamo-o,Alola
1144,784,Kommo,Alola
1145,784,Kommo-o,Alola
1146,785,Tapu Koko,Alola
1147,786,Tapu Lele,Alola
1148,787,Tapu Bulu,Alola
1149,788,Tapu Fini,Alola
1150,789,Cosmog,Alola
1151,790,Cosmoem,Alola
1152,791,Solgaleo,Alola
1153,792,Lunala,Alola
1154,793,Nihilego,Alola
1155,794,Buzzwole,Alola
1156,795,Pheromosa,Alola
1157,796,Xurkitree,Alola
1158,797,Celesteela,Alola
1159,798,Kartana,Alola
1160,799,Guzzlord,Alola
1161,800,Necrozma,Alola
1162,800,Dawn Wings Necrozma,Alola
1163,800,Dusk Mane Necrozma,Alola
1164,800,Ultra Necrozma,Alola
1165,801,Magearna,Alola
1166,801,Original Color Magearna,Alola
1167,801,Mega Magearna,Alola
1168,801,Mega Magearna (Original Color),Alola
1169,802,Marshadow,Alola
1170,803,Poipole,Alola
1171,804,Naganadel,Alola
1172,805,Stakataka,Alola
1173,806,Blacephalon,Alola
1174,807,Zeraora,Alola
1175,807,Mega Zeraora,Alola
1176,808,Meltan,Alola
1177,809,Melmetal,Alola
1178,809,Gigantamax Melmetal,Galar
1179,810,Grookey,Galar
1180,811,Thwackey,Galar
1181,812,Rillaboom,Galar
1182,812,Gigantamax Rillaboom,Galar
1183,813,Scorbunny,Galar
1184,814,Raboot,Galar
1185,815,Cinderace,Galar
1186,815,Gigantamax Cinderace,Galar
1187,816,Sobble,Galar
1188,817,Drizzile,Galar
1189,818,Inteleon,Galar
1190,818,Gigantamax Inteleon,Galar
1191,819,Skwovet,Galar
1192,820,Greedent,Galar
1193,821,Rookidee,Galar
1194,822,Corvisquire,Galar
1195,823,Corviknight,Galar
1196,823,Gigantamax Corviknight,Galar
1197,824,Blipbug,Galar
1198,825,Dottler,Galar
1199,826,Orbeetle,Galar
1200,826,Gigantamax Orbeetle,Galar
1201,827,Nickit,Galar
1202,828,Thievul,Galar
1203,829,Gossifleur,Galar
1204,830,Eldegoss,Galar
1205,831,Wooloo,Galar
1206,832,Dubwool,Galar
1207,833,Chewtle,Galar
1208,834,Drednaw,Galar
1209,834,Gigantamax Drednaw,Galar
1210,835,Yamper,Galar
1211,836,Boltund,Galar
1212,837,Rolycoly,Galar
1213,838,Carkol,Galar
1214,839,Coalossal,Galar
1215,839,Gigantamax Coalossal,Galar
1216,840,Applin,Galar
1217,841,Flapple,Galar
1218,841,Gigantamax Flapple,Galar
1219,842,Appletun,Galar
1220,842,Gigantamax Appletun,Galar
1221,1011,Dipplin,Paldea
1222,1019,Hydrapple,Paldea
1223,843,Silicobra,Galar
1224,844,Sandaconda,Galar
1225,844,Gigantamax Sandaconda,Galar
1226,845,Cramorant,Galar
1227,846,Arrokuda,Galar
1228,847,Barraskewda,Galar
1229,848,Toxel,Galar
1230,849,Amped Toxtricity,Galar
1231,849,Low Key Toxtricity,Galar
1232,849,Toxtricity (Amped),Galar
1233,849,Toxtricity (Low Key),Galar
1234,849,Gigantamax Toxtricity,Galar
1235,850,Sizzlipede,Galar
1236,851,Centiskorch,Galar
1237,851,Gigantamax Centiskorch,Galar
1238,852,Clobbopus,Galar
1239,853,Grapploct,Galar
1240,854,Sinistea,Galar
1241,854,Antique Sinistea,Galar
1242,854,Phony Sinistea,Galar
1243,855,Antique Polteageist,Galar
1244,855,Phony Polteageist,Galar
1245,855,Polteageist,Galar
1246,856,Hatenna,Galar
1247,857,Hattrem,Galar
1248,858,Hatterene,Galar
1249,858,Gigantamax Hatterene,Galar
1250,859,Impidimp,Galar
1251,860,Morgrem,Galar
1252,861,Grimmsnarl,Galar
1253,861,Gigantamax Grimmsnarl,Galar
1254,868,Milcery,Galar
1255,869,Alcremie,Galar
1256,869,Vanilla Cream Strawberry Alc…,Galar
1257,869,Gigantamax Alcremie,Galar
1258,870,Falinks,Galar
1259,870,Mega Falinks,Galar
1260,871,Pincurchin,Galar
1261,872,Snom,Galar
1262,873,Frosmoth,Galar
1263,874,Stonjourner,Galar
1264,875,Eiscue,Galar
1265,875,Ice Face Eiscue,Galar
1266,875,Noice Face Eiscue,Galar
1267,876,Indeedee,Galar
1268,876,Indeedee Female,Galar
1269,876,Indeedee Male,Galar
1270,877,Morpeko,Galar
1271,877,Full Belly Morpeko,Galar
1272,877,Hangry Morpeko,Galar
1273,878,Cufant,Galar
1274,879,Copperajah,Galar
1275,879,Gigantamax Copperajah,Galar
1276,880,Dracozolt,Galar
1277,881,Arctozolt,Galar
1278,882,Dracovish,Galar
1279,883,Arctovish,Galar
1280,884,Duraludon,Galar
1281,884,Gigantamax Duraludon,Galar
1282,1018,Archaludon,Paldea
1283,885,Dreepy,Galar
1284,886,Drakloak,Galar
1285,887,Dragapult,Galar
1286,888,Zacian,Galar
1287,888,Crowned Sword Zacian,Galar
1288,888,Hero of Many Battles Zacian,Galar
1289,889,Zamazenta,Galar
1290,889,Crowned Shield Zamazenta,Galar
1291,889,Hero of Many Battles Zamaze…,Galar
1292,890,Eternatus,Galar
1293,890,Eternamax Eternatus,Galar
1294,891,Kubfu,Galar
1295,892,Rapid Strike Urshifu,Galar
1296,892,Single Strike Urshifu,Galar
1297,892,Urshifu (Rapid Strike),Galar
1298,892,Urshifu (Single Strike),Galar
1299,892,Gigantamax Rapid Strike Urs…,Galar
1300,892,Gigantamax Single Strike Urs…,Galar
1301,892,Gigantamax Urshifu (Rapid S…,Galar
1302,892,Gigantamax Urshifu (Single S…,Galar
1303,893,Zarude,Galar
1304,893,Dada Zarude,Galar
1305,894,Regieleki,Galar
1306,895,Regidrago,Galar
1307,896,Glastrier,Galar
1308,897,Spectrier,Galar
1309,898,Calyrex,Galar
1310,898,Ice Rider Calyrex,Galar
1311,898,Shadow Rider Calyrex,Galar
1312,905,Enamorus,Hisui
1313,905,Incarnate Enamorus,Hisui
1314,905,Therian Enamorus,Hisui
1315,906,Sprigatito,Paldea
1316,907,Floragato,Paldea
1317,908,Meowscarada,Paldea
1318,909,Fuecoco,Paldea
1319,910,Crocalor,Paldea
1320,911,Skeledirge,Paldea
1321,912,Quaxly,Paldea
1322,913,Quaxwell,Paldea
1323,914,Quaquaval,Paldea
1324,915,Lechonk,Paldea
1325,916,Oinkologne,Paldea
1326,916,Oinkologne Female,Paldea
1327,916,Oinkologne Male,Paldea
1328,917,Tarountula,Paldea
1329,918,Spidops,Paldea
1330,919,Nymble,Paldea
1331,920,Lokix,Paldea
1332,921,Pawmi,Paldea
1333,922,Pawmo,Paldea
1334,923,Pawmot,Paldea
1335,924,Tandemaus,Paldea
1336,925,Family of Four Maushold,Paldea
1337,925,Family of Three Maushold,Paldea
1338,925,Maushold,Paldea
1339,926,Fidough,Paldea
1340,927,Dachsbun,Paldea
1341,928,Smoliv,Paldea
1342,929,Dolliv,Paldea
1343,930,Arboliva,Paldea
1344,931,Squawkabilly,Paldea
1345,931,Blue Plumage Squawkabilly,Paldea
1346,931,Green Plumage Squawkabilly,Paldea
1347,931,White Plumage Squawkabilly,Paldea
1348,931,Yellow Plumage Squawkabilly,Paldea
1349,932,Nacli,Paldea
1350,933,Naclstack,Paldea
1351,934,Garganacl,Paldea
1352,935,Charcadet,Paldea
1353,936,Armarouge,Paldea
1354,937,Ceruledge,Paldea
1355,938,Tadbulb,Paldea
1356,939,Bellibolt,Paldea
1357,940,Wattrel,Paldea
1358,941,Kilowattrel,Paldea
1359,942,Maschiff,Paldea
1360,943,Mabosstiff,Paldea
1361,944,Shroodle,Paldea
1362,945,Grafaiai,Paldea
1363,946,Bramblin,Paldea
1364,947,Brambleghast,Paldea
1365,948,Toedscool,Paldea
1366,949,Toedscruel,Paldea
1367,950,Klawf,Paldea
1368,951,Capsakid,Paldea
1369,952,Scovillain,Paldea
1370,952,Mega Scovillain,Paldea
1371,953,Rellor,Paldea
1372,954,Rabsca,Paldea
1373,955,Flittle,Paldea
1374,956,Espathra,Paldea
1375,957,Tinkatink,Paldea
1376,958,Tinkatuff,Paldea
1377,959,Tinkaton,Paldea
1378,960,Wiglett,Paldea
1379,961,Wugtrio,Paldea
1380,962,Bombirdier,Paldea
1381,963,Finizen,Paldea
1382,964,Hero Palafin,Paldea
1383,964,Palafin,Paldea
1384,964,Zero Palafin,Paldea
1385,965,Varoom,Paldea
1386,966,Revavroom,Paldea
1387,967,Cyclizar,Paldea
1388,968,Orthworm,Paldea
1389,969,Glimmet,Paldea
1390,970,Glimmora,Paldea
1391,970,Mega Glimmora,Paldea
1392,971,Greavard,Paldea
1393,972,Houndstone,Paldea
1394,973,Flamigo,Paldea
1395,974,Cetoddle,Paldea
1396,975,Cetitan,Paldea
1397,976,Veluza,Paldea
1398,977,Dondozo,Paldea
1399,978,Curly Tatsugiri,Paldea
1400,978,Droopy Tatsugiri,Paldea
1401,978,Stretchy Tatsugiri,Paldea
1402,978,Tatsugiri (Curly),Paldea
1403,978,Tatsugiri (Droopy),Paldea
1404,978,Tatsugiri (Stretchy),Paldea
1405,978,Mega Curly Tatsugiri,Paldea
1406,978,Mega Droopy Tatsugiri,Paldea
1407,978,Mega Stretchy Tatsugiri,Paldea
1408,978,Mega Tatsugiri (Curly),Paldea
1409,978,Mega Tatsugiri (Droopy),Paldea
1410,978,Mega Tatsugiri (Stretchy),Paldea
1411,984,Great Tusk,Paldea
1412,985,Scream Tail,Paldea
1413,986,Brute Bonnet,Paldea
1414,987,Flutter Mane,Paldea
1415,988,Slither Wing,Paldea
1416,989,Sandy Shocks,Paldea
1417,990,Iron Treads,Paldea
1418,991,Iron Bundle,Paldea
1419,992,Iron Hands,Paldea
1420,993,Iron Jugulis,Paldea
1421,994,Iron Moth,Paldea
1422,995,Iron Thorns,Paldea
1423,996,Frigibax,Paldea
1424,997,Arctibax,Paldea
1425,998,Baxcalibur,Paldea
1426,998,Mega Baxcalibur,Paldea
1427,999,Gimmighoul,Paldea
1428,999,Chest Gimmighoul,Paldea
1429,999,Roaming Gimmighoul,Paldea
1430,1000,Gholdengo,Paldea
1431,1001,Wo-Chien,Paldea
1432,1002,Chien-Pao,Paldea
1433,1003,Ting-Lu,Paldea
1434,1004,Chi-Yu,Paldea
1435,1005,Roaring Moon,Paldea
1436,1006,Iron Valiant,Paldea
1437,1007,Koraidon,Paldea
1438,1007,Apex Build Koraidon,Paldea
1439,1008,Miraidon,Paldea
1440,1008,Ultimate Miraidon,Paldea
1441,1009,Walking Wake,Paldea
1442,1010,Iron Leaves,Paldea
1443,1012,Poltchageist,Paldea
1444,1012,Artisan Poltchageist,Paldea
1445,1013,Masterpiece Sinistcha,Paldea
1446,1013,Sinistcha,Paldea
1447,1014,Okidogi,Paldea
1448,1015,Munkidori,Paldea
1449,1016,Fezandipiti,Paldea
1450,1017,Ogerpon,Paldea
1451,1017,Cornerstone Mask Ogerpon,Paldea
1452,1017,Hearthflame Mask Ogerpon,Paldea
1453,1017,Teal Mask Ogerpon,Paldea
1454,1017,Wellspring Mask Ogerpon,Paldea
1455,1020,Gouging Fire,Paldea
1456,1021,Raging Bolt,Paldea
1457,1022,Iron Boulder,Paldea
1458,1023,Iron Crown,Paldea
1459,1024,Terapagos,Paldea
1460,1024,Stellar Terapagos,Paldea
1461,1024,Terastal Terapagos,Paldea
1462,1025,Pecharunt,Paldea
