Card Name,Set,Card Number,Rarity,Foil,Owned,Condition,Quantity,Market Value,Purchase Price,Target Buy Price,GainLoss,Notes,Artist,Language
Joltik,Team Up,47,Common,Normal,No,,0,2.19,,,,,Yuka Morii,English
Joltik,Team Up,47,Common,Reverse Holofoil,No,,0,4.39,,,,,Yuka Morii,English
Pancham,Team Up,81,Common,Normal,No,,0,1.79,,,,,Yuka Morii,English
Pancham,Team Up,81,Common,Reverse Holofoil,No,,0,3.29,,,,,Yuka Morii,English
Venonat,Unbroken Bonds,10,Common,Normal,No,,0,1.89,,,,,Yuka Morii,English
Venonat,Unbroken Bonds,10,Common,Reverse Holofoil,No,,0,2.09,,,,,Yuka Morii,English
Grubbin,Unbroken Bonds,18,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Grubbin,Unbroken Bonds,18,Common,Reverse Holofoil,No,,0,1.89,,,,,Yuka Morii,English
Darumaka,Unbroken Bonds,23,Common,Normal,No,,0,1.19,,,,,Yuka Morii,English
Darumaka,Unbroken Bonds,23,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Sandile,Unbroken Bonds,113,Common,Normal,No,,0,1.59,,,,,Yuka Morii,English
Sandile,Unbroken Bonds,113,Common,Reverse Holofoil,No,,0,2.19,,,,,Yuka Morii,English
Fomantis,Unified Minds,15,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Fomantis,Unified Minds,15,Common,Reverse Holofoil,No,,0,3.09,,,,,Yuka Morii,English
Relicanth,Unified Minds,111,Uncommon,Normal,No,,0,2.19,,,,,Yuka Morii,English
Relicanth,Unified Minds,111,Uncommon,Reverse Holofoil,No,,0,4.39,,,,,Yuka Morii,English
Rowlet,Cosmic Eclipse,17,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Rowlet,Cosmic Eclipse,17,Common,Reverse Holofoil,No,,0,8.79,,,,,Yuka Morii,English
Mimikyu,Cosmic Eclipse,97,Rare,Normal,No,,0,13.99,,,,,Yuka Morii,English
Mimikyu,Cosmic Eclipse,97,Rare,Reverse Holofoil,No,,0,35.99,,,,,Yuka Morii,English
Ferroseed,Sword & Shield,130,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Ferroseed,Sword & Shield,130,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Sandygast,Rebel Clash,81,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Sandygast,Rebel Clash,81,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Bunnelby,Rebel Clash,146,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Bunnelby,Rebel Clash,146,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Bounsweet,Darkness Ablaze,14,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Bounsweet,Darkness Ablaze,14,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Torchic,Darkness Ablaze,22,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Torchic,Darkness Ablaze,22,Common,Reverse Holofoil,No,,0,1.79,,,,,Yuka Morii,English
Weedle,Champion's Path,2,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Weedle,Champion's Path,2,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Dedenne,Vivid Voltage,77,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Dedenne,Vivid Voltage,77,Common,Reverse Holofoil,No,,0,1.69,,,,,Yuka Morii,English
Drilbur,Vivid Voltage,91,Common,Normal,No,,0,1.59,,,,,Yuka Morii,English
Drilbur,Vivid Voltage,91,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Taillow,Vivid Voltage,133,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Taillow,Vivid Voltage,133,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Salandit,Battle Styles,27,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Salandit,Battle Styles,27,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Sizzlipede,Battle Styles,29,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Sizzlipede,Battle Styles,29,Common,Reverse Holofoil,No,,0,1.59,,,,,Yuka Morii,English
Castform Sunny Form,Chilling Reign,22,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Castform Sunny Form,Chilling Reign,22,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Clobbopus,Chilling Reign,91,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Clobbopus,Chilling Reign,91,Common,Reverse Holofoil,No,,0,1.29,,,,,Yuka Morii,English
Woobat,Evolving Skies,68,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Woobat,Evolving Skies,68,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Pumpkaboo,Evolving Skies,76,Common,Normal,No,,0,1.19,,,,,Yuka Morii,English
Pumpkaboo,Evolving Skies,76,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Snom,Fusion Strike,84,Common,Normal,No,,0,1.99,,,,,Yuka Morii,English
Snom,Fusion Strike,84,Common,Reverse Holofoil,No,,0,1.69,,,,,Yuka Morii,English
Tynamo,Fusion Strike,95,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Tynamo,Fusion Strike,95,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Sandshrew,Fusion Strike,131,Common,Normal,No,,0,1.69,,,,,Yuka Morii,English
Sandshrew,Fusion Strike,131,Common,Reverse Holofoil,No,,0,1.49,,,,,Yuka Morii,English
Wormadam,Brilliant Stars,10,Rare,Normal,No,,0,1.69,,,,,Yuka Morii,English
Wormadam,Brilliant Stars,10,Rare,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Staryu,Brilliant Stars,30,Common,Normal,No,,0,1.19,,,,,Yuka Morii,English
Staryu,Brilliant Stars,30,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Shieldon,Astral Radiance,109,Uncommon,Normal,No,,0,1.49,,,,,Yuka Morii,English
Shieldon,Astral Radiance,109,Uncommon,Reverse Holofoil,No,,0,1.29,,,,,Yuka Morii,English
Spinarak,Pokémon GO,6,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Spinarak,Pokémon GO,6,Common,Reverse Holofoil,No,,0,1.39,,,,,Yuka Morii,English
Seedot,Lost Origin,11,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Seedot,Lost Origin,11,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Litwick,Lost Origin,24,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Litwick,Lost Origin,24,Common,Reverse Holofoil,No,,0,1.69,,,,,Yuka Morii,English
Ducklett,Lost Origin,46,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Ducklett,Lost Origin,46,Common,Reverse Holofoil,No,,0,1.69,,,,,Yuka Morii,English
Machop,Lost Origin,86,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Machop,Lost Origin,86,Common,Reverse Holofoil,No,,0,1.19,,,,,Yuka Morii,English
Murkrow,Lost Origin,114,Common,Normal,No,,0,1.29,,,,,Yuka Morii,English
Murkrow,Lost Origin,114,Common,Reverse Holofoil,No,,0,1.79,,,,,Yuka Morii,English
Baltoy,Silver Tempest,93,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Baltoy,Silver Tempest,93,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Pawniard,Crown Zenith,92,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Pawniard,Crown Zenith,92,Common,Reverse Holofoil,No,,0,1.39,,,,,Yuka Morii,English
Drapion V,Crown Zenith Galarian Gallery,GG49,Rare Holo V,Holofoil,No,,0,12.99,,,,,Yuka Morii,English
Stonjourner,Scarlet & Violet,121,Uncommon,Normal,No,,0,1.29,,,,,Yuka Morii,English
Stonjourner,Scarlet & Violet,121,Uncommon,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Starly,Scarlet & Violet,148,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Starly,Scarlet & Violet,148,Common,Reverse Holofoil,No,,0,1.59,,,,,Yuka Morii,English
Pincurchin,Paldea Evolved,72,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Pincurchin,Paldea Evolved,72,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Larvesta,Obsidian Flames,40,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Larvesta,Obsidian Flames,40,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Clefairy,Obsidian Flames,81,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Clefairy,Obsidian Flames,81,Common,Reverse Holofoil,No,,0,1.29,,,,,Yuka Morii,English
Sinistea,Obsidian Flames,97,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Sinistea,Obsidian Flames,97,Common,Reverse Holofoil,No,,0,1.19,,,,,Yuka Morii,English
Lillipup,Obsidian Flames,170,Common,Normal,No,,0,1.39,,,,,Yuka Morii,English
Lillipup,Obsidian Flames,170,Common,Reverse Holofoil,No,,0,1.19,,,,,Yuka Morii,English
Magnemite,151,81,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Magnemite,151,81,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Magneton,151,82,Uncommon,Normal,No,,0,0.99,,,,,Yuka Morii,English
Magneton,151,82,Uncommon,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Octillery,Paradox Rift,34,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Octillery,Paradox Rift,34,Common,Reverse Holofoil,No,,0,1.49,,,,,Yuka Morii,English
Toxel,Paradox Rift,69,Common,Normal,No,,0,1.09,,,,,Yuka Morii,English
Toxel,Paradox Rift,69,Common,Reverse Holofoil,No,,0,1.09,,,,,Yuka Morii,English
Aipom,Paradox Rift,211,Illustration Rare,Holofoil,No,,0,29.99,,,,,Yuka Morii,English
Minccino,Temporal Forces,136,Common,Normal,No,,0,0.99,,,,,Yuka Morii,English
Minccino,Temporal Forces,136,Common,Reverse Holofoil,No,,0,1.19,,,,,Yuka Morii,English
Froakie,Twilight Masquerade,56,Common,Normal,No,,0,1.59,,,,,Yuka Morii,English
Froakie,Twilight Masquerade,56,Common,Reverse Holofoil,No,,0,0.99,,,,,Yuka Morii,English
Klinklang,Black Bolt,141,Illustration Rare,Holofoil,No,,0,30.99,,,,,Yuka Morii,English
Durant,White Flare,70,Uncommon,Normal,No,,0,0.99,,,,,Yuka Morii,English
Durant,White Flare,70,Uncommon,Reverse Holofoil,No,,0,,,,,,Yuka Morii,English
Pikachu,Skyridge,84,Common,,No,,0,144,,,,,Yuka Morii,English
